snapped_at,price,market_cap,total_volume
2020-12-21 00:00:00 UTC,0.9750813700303343,30869581.824514575,12117416.259437257
2020-12-22 00:00:00 UTC,0.9750813700303343,30869581.824514575,12117416.259437257
2020-12-23 00:00:00 UTC,1.0010498827899095,27914354.264784694,3307646.954558307
2020-12-24 00:00:00 UTC,0.991595815364572,25619283.64563733,2465529.23864036
2020-12-25 00:00:00 UTC,0.9998029846208307,24656504.039129373,2778572.8196442514
2020-12-26 00:00:00 UTC,1.01050694690746,24918932.517946918,1923199.7012186071
2020-12-27 00:00:00 UTC,1.0031068343230265,24711252.63297646,1865761.1444497854
2020-12-28 00:00:00 UTC,0.9853453084041817,24826457.176814083,11937442.834567882
2020-12-29 00:00:00 UTC,1.017660244962475,27334159.88552361,6585385.997554083
2020-12-30 00:00:00 UTC,1.0275427014617313,32345609.179549616,10305443.648961121
2020-12-31 00:00:00 UTC,1.0068035443556425,56528801.30935243,30607257.11238162
2021-01-01 00:00:00 UTC,0.9964030562123515,57389050.46784353,7352435.589723089
2021-01-02 00:00:00 UTC,1.0131331061422455,71772627.91535997,10413778.74358388
2021-01-03 00:00:00 UTC,1.012722503243817,78289715.7592717,19240839.737490535
2021-01-04 00:00:00 UTC,1.006453171678846,78876977.86952834,14736222.455233755
2021-01-05 00:00:00 UTC,0.9824241553742068,76277371.09677635,21723417.092225082
2021-01-06 00:00:00 UTC,0.9980295909201709,77017944.4610766,12677825.312359527
2021-01-07 00:00:00 UTC,1.0108175791536353,78335940.66273744,13015284.151660021
2021-01-08 00:00:00 UTC,1.000485600000948,76765960.56079437,11748327.84801839
2021-01-09 00:00:00 UTC,1.0029097606075705,79297691.75337489,11712695.331748439
2021-01-10 00:00:00 UTC,1.0079863859810347,81233221.37442262,6032913.647227196
2021-01-11 00:00:00 UTC,1.004240906473273,90274657.2498608,12063958.926086035
2021-01-12 00:00:00 UTC,1.012074266072802,92606706.16060068,25703669.12256884
2021-01-13 00:00:00 UTC,1.0102317346254084,96899299.43953867,22161375.498708848
2021-01-14 00:00:00 UTC,1.014182647459399,100855563.84875758,16291743.78445875
2021-01-15 00:00:00 UTC,1.0167116927351536,105241349.48289801,11020584.40972364
2021-01-16 00:00:00 UTC,1.0091373956211254,110335305.35363823,17570556.950623333
2021-01-17 00:00:00 UTC,1.0038522635903908,119990622.8461943,26934113.387886953
2021-01-18 00:00:00 UTC,0.9934715982428477,123762603.42302063,21009764.65975982
2021-01-19 00:00:00 UTC,1.0149708490026594,129539791.3956967,12817579.406166041
2021-01-20 00:00:00 UTC,0.9904498024025156,134661097.0903064,23000045.329289854
2021-01-21 00:00:00 UTC,1.0150872429838014,135199564.31925482,25346073.60088241
2021-01-22 00:00:00 UTC,0.9924804678727246,125047957.30386725,31726206.030826587
2021-01-23 00:00:00 UTC,0.9965129427968541,119757020.20949267,28831296.955569647
2021-01-24 00:00:00 UTC,0.9886699442605592,102916458.06947494,21033842.31598959
2021-01-25 00:00:00 UTC,1.0122278320826799,105914744.64751594,18363386.17845639
2021-01-26 00:00:00 UTC,0.9966165935702419,105332033.78590952,12714487.571509652
2021-01-27 00:00:00 UTC,0.9877278112539691,97512600.73267393,16566358.160912286
2021-01-28 00:00:00 UTC,0.9979775824025333,87390206.05301732,16387678.564061236
2021-01-29 00:00:00 UTC,0.9819511743179062,84927642.80502668,15190045.521384846
2021-01-30 00:00:00 UTC,0.9913475639629172,85235562.9762363,9404443.287797147
2021-01-31 00:00:00 UTC,0.9851367902913503,83567865.85525711,4925781.649575806
2021-02-01 00:00:00 UTC,1.0033887322185977,85228116.88954931,7686419.23888054
